id;address1;address2;city;postcode;country;customerId
b6bbfee3-fac1-4fd2-994d-c6d6e0d1a4af;101, Adhe Road;Biskate Pura;Bangalore;123456;IN;2fd91947-cb33-4a97-bf12-3e45c649c026
b1fb2082-62ac-46d7-baf8-28d9a5d14bf7;102, Edo Road ;Chaco-let Nagar;Hyderabad;234567;IN;346cacf3-e1c7-4f3d-b613-ad541bc1191a
b0dcee5e-5729-4f9d-b30c-cde02674dba3;103, Edo apartment;Candy Palle;Chennai;345678;IN;1c109b2b-39ec-4b4a-8962-03e2c6adae02
f688a185-0ff5-4bca-9bdb-2ca94a1f05f5;104, Pakka Veedi;Laddooru;Mumbai;456789;IN;28287829-3d3c-43b7-a0e3-5dd9871aef72
0b8242d6-355f-45d9-b21b-ac4d9813408d;105, Venak Bazar;Kaju katli;Amaravathi;567891;IN;7e7dd3f8-724a-4d0a-bd84-73d4eb52034c
d3ec441d-5c61-461f-a1f5-e02ca3a40806;106, AA Vooru;Cream Roll;Trivendram;678912;IN;97aa7eed-aa1d-4c86-aa77-ee14e2ce826b
6233676a-12fe-46f4-9037-4640c58c0c09;107, Katta Meeda;Jilebi;Bhopal;789123;IN;dc38ff14-6c0e-4cd0-a34b-c9b877ab23d8
37d118b3-a09a-4316-b765-7eae6b4b8a88;108, Gudi Venaka;Samosa;Jaipur;891234;IN;1a2d7721-d09f-4c7c-a37f-469c3648db7f
c7c20781-a96b-44f8-9403-174925f3c4d4;109, Cheruvu Pakkana;Kachori;Delhi;912345;IN;f4e8c992-14ec-4ede-9fc1-6884c92f4887
c385367d-4e5d-4bc4-a2a6-9c493f7bceea;110, Form Road;Bhel Puri;Kolkata;213456;IN;07509884-f763-407f-a4e7-3aea677d98b9
